Operon,IdGene,Type,COGgene,PosLeft,PosRight,Strand,Function
11,cds27,CDS,COG0641,25109,26161,+,[R] Arylsulfatase regulator (Fe-S oxidoreductase)  
11,cds28,CDS,ROG4525,26187,26882,+,NA
12,cds29,CDS,COG2038,27012,28055,-,[H] NaMN:DMB phosphoribosyltransferase    
13,cds30,CDS,ROG7903,28119,28448,+,NA
14,cds31,CDS,COG0520,28454,29584,-,[E] Selenocysteine lyase    
14,cds32,CDS,COG0365,29556,31268,-,[I] Acyl-coenzyme A synthetases/AMP-(fatty) acid ligases 
14,cds33,CDS,COG1439,31326,31802,-,"[R] Predicted nucleic acid-binding protein, consists of"
14,cds34,CDS,COG0061,31786,32535,-,[G] Predicted sugar kinase   
15,cds35,CDS,COG0738,32640,33707,+,[G] Fucose permease    
16,cds36,CDS,ROG5801,33685,34038,-,NA
17,cds37,CDS,COG0492,34123,35121,+,[O] Thioredoxin reductase    
17,cds38,CDS,COG2520,35143,35883,+,[R] Predicted methyltransferase    
18,cds39,CDS,COG2090,35806,36291,-,[S] Uncharacterized protein conserved in archaea 
18,cds40,CDS,COG1534,36251,36544,-,"[J] Predicted RNA-binding protein containing KH domain,"
18,cds41,CDS,COG2023,36504,36818,-,[J] RNase P subunit RPR2  
19,cds42,CDS,COG1756,36840,37511,+,[S] Uncharacterized conserved protein   
20,cds43,CDS,ROG2430,37492,38067,-,NA
21,cds44,CDS,ROG1051,38142,38321,-,NA
22,cds45,CDS,NA,38896,39780,+,NA
23,cds46,CDS,COG2107,39748,40614,-,[R] Predicted periplasmic solute-binding protein  
24,cds47,CDS,COG1986,40718,41248,+,[S] Uncharacterized conserved protein   
25,cds48,CDS,ROG4375,41229,41882,-,NA
25,trxA,CDS,COG0526,41895,42302,-,[OC] Thiol-disulfide isomerase and thioredoxins  
26,cds50,CDS,COG0665,42359,43273,+,[E] Glycine/D-amino acid oxidases (deaminating)  
26,cds51,CDS,COG1650,43263,43976,+,[S] Uncharacterized protein conserved in archaea 
27,cds52,CDS,COG0406,43941,44573,-,"[G] Fructose-2,6-bisphosphatase     "
28,cds53,CDS,COG2129,44642,45619,+,"[R] Predicted phosphoesterases, related to the Icc"
29,cds54,CDS,ROG6012,45831,46157,+,NA
30,cds55,CDS,COG0419,46159,47922,-,[L] ATPase involved in DNA repair 
31,cds56,CDS,COG1957,48130,49053,+,[F] Inosine-uridine nucleoside N-ribohydrolase   
32,cds57,CDS,COG0735,49027,49437,-,[P] Fe2+/Zn2+ uptake regulation proteins  
33,cds58,CDS,ROG7577,49541,50026,+,NA
33,cds59,CDS,COG0500,50004,50741,+,[QR] SAM-dependent methyltransferases    
34,cds60,CDS,COG1230,50940,51758,+,[P] Co/Zn/Cd efflux system component  
35,cds61,CDS,COG1630,51755,52774,-,[S] Uncharacterized protein conserved in archaea 
35,cds62,CDS,COG0419,52771,55365,-,[L] ATPase involved in DNA repair 
35,cds63,CDS,COG0420,55362,56507,-,[L] DNA repair exonuclease   
35,cds64,CDS,COG0433,56510,58012,-,[R] Predicted ATPase    
36,cds65,CDS,ROG2573,58108,58656,-,NA
37,cds66,CDS,COG0063,58914,60419,+,[G] Predicted sugar kinase   
38,cds67,CDS,COG1225,60411,60860,-,[O] Peroxiredoxin     
39,ppcA,CDS,COG1892,60941,62476,+,[S] Uncharacterized protein conserved in archaea 
39,cds69,CDS,COG4028,62473,63282,+,[R] Predicted P-loop ATPase/GTPase   
40,cds70,CDS,COG2427,63272,63940,-,[S] Uncharacterized conserved protein   
40,cds71,CDS,COG1252,63947,65191,-,"[C] NADH dehydrogenase, FAD-containing subunit  "
41,cds72,CDS,COG0596,65325,65918,+,[R] Predicted hydrolases or acyltransferases (alpha/beta hydrolase
41,cds73,CDS,COG4344,65915,66556,+,[S] Uncharacterized protein conserved in archaea 
42,cds74,CDS,COG1703,66545,67492,-,[E] Putative periplasmic protein kinase ArgK and
42,cds75,CDS,COG2185,67482,67907,-,"[I] Methylmalonyl-CoA mutase, C-terminal domain/subunit (cobalamin-binding) "
43,cds76,CDS,COG0575,68019,68306,+,[I] CDP-diglyceride synthetase    
44,cds77,CDS,ROG6384,68293,68700,-,NA
45,cds78,CDS,NA,68907,69446,+,NA
46,cds79,CDS,ROG8145,69530,70006,-,NA
47,cds80,CDS,ROG4172,70096,70401,+,NA
48,cds81,CDS,COG0730,70384,71265,-,[R] Predicted permeases    
49,cds82,CDS,COG1321,71469,71867,-,[K] Mn-dependent transcriptional regulator   
50,cds83,CDS,COG0329,71923,72792,+,[EM] Dihydrodipicolinate synthase/N-acetylneuraminate lyase   
51,cds84,CDS,COG1573,72854,73504,+,[L] Uracil-DNA glycosylase    
51,cds85,CDS,COG1028,73455,74240,+,[IQR] Dehydrogenases with different specificities (related to
52,cds86,CDS,COG1106,74351,75838,+,[R] Predicted ATPases    
52,cds87,CDS,COG2034,75842,76087,+,[S] Predicted membrane protein   
53,cds88,CDS,ROG7008,76109,77392,-,NA
54,cds89,CDS,COG1051,77440,77865,+,[F] ADP-ribose pyrophosphatase    
55,cds90,CDS,COG0215,77846,79258,-,[J] Cysteinyl-tRNA synthetase    
55,cds91,CDS,COG1737,79271,80161,-,[K] Transcriptional regulators    
55,cds92,CDS,ROG6615,80154,80591,-,NA
56,cdr,CDS,COG0446,80644,81969,+,[R] Uncharacterized NAD(FAD)-dependent dehydrogenases   
57,cds94,CDS,ROG5435,82044,83162,+,NA
57,cds95,CDS,COG0433,83159,84988,+,[R] Predicted ATPase    
57,cds96,CDS,ROG8063,85013,85402,+,NA
57,cds97,CDS,COG1607,85380,86336,+,[I] Acyl-CoA hydrolase    
58,cds98,CDS,NA,86297,87400,-,NA
59,fabG_2,CDS,COG1028,87439,88218,+,[IQR] Dehydrogenases with different specificities (related to
59,xth,CDS,COG0708,88229,88972,+,[L] Exonuclease III    
60,cds101,CDS,COG0515,88964,90631,-,[RTKL] Serine/threonine protein kinase   
61,cds102,CDS,COG0531,90869,92407,+,[E] Amino acid transporters   
62,cds103,CDS,COG2250,92378,92767,-,[S] Uncharacterized conserved protein related to C-terminal
62,cds104,CDS,COG0824,92815,93219,-,[R] Predicted thioesterase    
62,cbiE,CDS,COG2241,93269,93952,-,[H] Precorrin-6B methylase 1   
62,cds106,CDS,COG2073,93939,94928,-,[H] Cobalamin biosynthesis protein CbiG  
62,cds107,CDS,COG2875,94931,95719,-,[H] Precorrin-4 methylase    
62,cds108,CDS,COG2243,95725,96393,-,[H] Precorrin-2 methylase    
62,cbiT,CDS,COG2242,96390,96989,-,[H] Precorrin-6B methylase 2   
62,cds110,CDS,COG1903,96990,98039,-,[H] Cobalamin biosynthesis protein CbiD  
62,cds111,CDS,COG1010,98036,98788,-,[H] Precorrin-3B methylase    
62,cds112,CDS,COG2082,98785,99783,-,[H] Precorrin isomerase    
63,cds113,CDS,COG1662,100211,100540,-,"[L] Transposase and inactivated derivatives, IS1 family"
64,cds114,CDS,COG3547,100594,101667,+,[L] Transposase and inactivated derivatives  
65,cds115,CDS,COG3677,101767,102164,-,[L] Transposase and inactivated derivatives  
66,cds116,CDS,COG0535,102742,103776,-,[R] Predicted Fe-S oxidoreductases   
67,cds117,CDS,COG0491,103851,104672,+,"[R] Zn-dependent hydrolases, including glyoxylases  "
68,cds118,CDS,COG1955,104950,106371,-,[NU] Archaeal flagella assembly protein J 
68,cds119,CDS,COG0630,106355,107896,-,"[NU] Type IV secretory pathway, VirB11 components,"
68,cds120,CDS,COG2874,107899,108606,-,[NU] Predicted ATPases involved in biogenesis of
68,cds121,CDS,ROG6825,108588,109076,-,NA
68,cds122,CDS,ROG2266,109079,109546,-,NA
68,cds123,CDS,ROG6640,109539,110300,-,NA
69,cds124,CDS,COG1681,110377,111297,-,[N] Archaeal flagellins    
70,cds125,CDS,NA,111420,111905,+,NA
70,cds126,CDS,ROG7604,111889,113358,+,NA
70,cds127,CDS,NA,113355,113798,+,NA
71,cds128,CDS,ROG7958,113882,114691,+,NA
71,cds129,CDS,NA,114705,115190,+,NA
71,cds130,CDS,NA,115187,115369,+,NA
72,cds131,CDS,COG0864,115595,115819,+,[K] Predicted transcriptional regulators containing the CopG/Arc/MetJ
73,cds132,CDS,COG3677,115972,116393,+,[L] Transposase and inactivated derivatives  
74,cds133,CDS,NA,116553,116860,+,NA
75,cds134,CDS,COG0455,117006,117734,+,[D] ATPases involved in chromosome partitioning 
76,cds135,CDS,COG3640,117995,118762,+,[D] CO dehydrogenase maturation factor  
77,cds136,CDS,COG0604,118757,119752,-,[CR] NADPH:quinone reductase and related Zn-dependent oxidoreductases
77,cds137,CDS,NA,119802,120167,-,NA
78,cds138,CDS,COG3640,120250,120861,+,[D] CO dehydrogenase maturation factor  
79,rna0,tRNA,NA,121138,121222,-,NA
80,cds139,CDS,NA,121733,122722,+,NA
81,cds140,CDS,COG1503,122814,123887,+,[J] Peptide chain release factor 1 (eRF1)
82,cds141,CDS,COG2236,123888,124520,-,[R] Predicted phosphoribosyltransferases    
83,cds142,CDS,COG0005,124604,125416,+,[F] Purine nucleoside phosphorylase   
83,cds143,CDS,ROG7241,125377,126165,+,NA
83,cds144,CDS,COG0142,126181,127026,+,[H] Geranylgeranyl pyrophosphate synthase   
84,cds145,CDS,COG0189,127077,127949,+,[HJ] Glutathione synthase/Ribosomal protein S6 modification enzyme
85,cds146,CDS,COG1522,127997,128458,-,[K] Transcriptional regulators    
85,cds147,CDS,COG1232,128455,129453,-,[H] Protoporphyrinogen oxidase    
85,cds148,CDS,ROG6852,129461,129973,-,NA
86,cds149,CDS,COG1446,130031,130861,+,[E] Asparaginase     
86,cds150,CDS,ROG6942,130862,131401,+,NA
87,cds151,CDS,NA,131398,131634,-,NA
88,cds152,CDS,ROG6654,131728,132111,+,NA
88,cds153,CDS,COG0644,132151,133512,+,[C] Dehydrogenases (flavoproteins)    
89,cds154,CDS,COG3356,133483,135099,-,[S] Predicted membrane protein   
90,cds155,CDS,ROG6203,135130,135420,+,NA
90,cds156,CDS,COG0647,135407,136201,+,[G] Predicted sugar phosphatases of the HAD
91,cds157,CDS,COG1053,136249,137949,+,"[C] Succinate dehydrogenase/fumarate reductase, flavoprotein subunit "
91,cds158,CDS,COG0479,137951,138901,+,"[C] Succinate dehydrogenase/fumarate reductase, Fe-S protein subunit"
91,cds159,CDS,COG2048,138907,139779,+,"[C] Heterodisulfide reductase, subunit B  "
91,cds160,CDS,ROG4242,139780,140145,+,NA
92,cds161,CDS,COG2425,140230,141588,-,[R] Uncharacterized protein containing a von Willebrand
92,cds162,CDS,COG1067,141585,142733,-,[O] Predicted ATP-dependent protease   
93,cds163,CDS,COG1599,143170,143616,+,"[L] Single-stranded DNA-binding replication protein A (RPA),"
93,cds164,CDS,ROG5061,143613,143894,+,NA
93,cds165,CDS,COG0303,143920,145560,+,[H] Molybdopterin biosynthesis enzyme   
94,cds166,CDS,NA,145689,145895,+,NA
94,cds167,CDS,COG0083,145899,146834,+,[E] Homoserine kinase    
94,cds168,CDS,COG0626,146818,147948,+,[E] Cystathionine beta-lyases/cystathionine gamma-synthases   
95,cds169,CDS,ROG3363,147945,148259,-,NA
95,cds170,CDS,ROG6657,148238,148777,-,NA
96,cds171,CDS,COG4034,148915,149922,+,[S] Uncharacterized protein conserved in archaea 
96,cds172,CDS,ROG7898,149953,150495,+,NA
97,cds173,CDS,COG1094,150454,151023,-,[R] Predicted RNA-binding protein (contains KH domains)
97,cds174,CDS,COG1718,151020,151784,-,[TD] Serine/threonine protein kinase involved in cell
97,eif1A,CDS,COG0361,151788,152114,-,[J] Translation initiation factor 1 (IF-1) 
97,cds176,CDS,COG0183,152162,153376,-,[I] Acetyl-CoA acetyltransferase    
97,cds177,CDS,COG0621,153391,154656,-,[J] 2-methylthioadenine synthetase    
98,cds178,CDS,COG1601,154701,155120,+,"[J] Translation initiation factor 2, beta subunit"
98,cds179,CDS,COG2412,155117,155413,+,[S] Uncharacterized conserved protein   
98,cds180,CDS,COG1499,155419,156132,+,[J] NMD protein affecting ribosome stability and
98,cds181,CDS,COG0164,156129,156767,+,[L] Ribonuclease HII    
98,cds182,CDS,COG1163,156761,157816,+,[R] Predicted GTPase    
98,cds183,CDS,COG2064,157866,159716,+,[NU] Flp pilus assembly protein TadC 
98,cds184,CDS,COG0630,159740,161473,+,"[NU] Type IV secretory pathway, VirB11 components,"
99,cds185,CDS,COG1215,161454,162734,-,"[M] Glycosyltransferases, probably involved in cell wall"
99,cds186,CDS,COG0221,162731,163249,-,[C] Inorganic pyrophosphatase    
99,cds187,CDS,COG1896,163277,163813,-,[R] Predicted hydrolases of HD superfamily 
99,thiD,CDS,COG1992,163831,165165,-,[S] Uncharacterized conserved protein   
99,cds189,CDS,COG1977,165162,165857,-,"[H] Molybdopterin converting factor, small subunit "
100,cds190,CDS,ROG3048,165894,166349,+,NA
101,cds191,CDS,COG1139,166340,168592,-,[C] Uncharacterized conserved protein containing a ferredoxin-like
102,cds192,CDS,COG1829,168577,169389,+,[R] Predicted archaeal kinase (sugar kinase superfamily)
102,cds193,CDS,COG1701,169344,170144,+,[S] Uncharacterized protein conserved in archaea 
103,panB,CDS,COG0413,170123,170926,-,[H] Ketopantoate hydroxymethyltransferase    
103,cds195,CDS,ROG2713,170823,171506,-,NA
104,cds196,CDS,COG1131,171451,172302,+,"[V] ABC-type multidrug transport system, ATPase component"
104,cds197,CDS,COG1668,172302,173492,+,"[CP] ABC-type Na+ efflux pump, permease component"
104,cds198,CDS,ROG3776,173525,173758,+,NA
105,cds199,CDS,ROG5441,174155,174472,-,NA
106,cds200,CDS,ROG7554,174622,174798,+,NA
107,cds201,CDS,COG2220,174795,175430,-,[R] Predicted Zn-dependent hydrolases of the beta-lactamase
107,cds202,CDS,COG0119,175439,176557,-,[E] Isopropylmalate/homocitrate/citramalate synthases    
108,cds203,CDS,COG1634,176631,177260,-,[R] Uncharacterized Rossmann fold enzyme  
108,cds204,CDS,NA,177257,177457,-,NA
108,cds205,CDS,ROG7019,177441,177833,-,NA
108,cds206,CDS,ROG7080,177826,178203,-,NA
109,cds207,CDS,ROG8441,178236,178739,+,NA
109,cds208,CDS,COG0720,178729,179145,+,[H] 6-pyruvoyl-tetrahydropterin synthase    
110,cds209,CDS,ROG6495,179165,179608,-,NA
110,cds210,CDS,COG1625,179565,181064,-,"[C] Fe-S oxidoreductase, related to NifB/MoaA family"
111,trxB,CDS,COG0492,181157,182128,+,[O] Thioredoxin reductase    
111,cds212,CDS,COG0483,182125,182919,+,"[G] Archaeal fructose-1,6-bisphosphatase and related enzymes of"
112,cds213,CDS,COG0464,182867,184687,-,[O] ATPases of the AAA+ class 
113,cds214,CDS,COG1233,184769,186325,-,[Q] Phytoene dehydrogenase and related proteins 
114,cds215,CDS,COG1524,186467,187621,+,[R] Uncharacterized proteins of the AP superfamily
114,cds216,CDS,COG2236,187614,188153,+,[R] Predicted phosphoribosyltransferases    
115,cds217,CDS,COG1884,188143,189804,-,"[I] Methylmalonyl-CoA mutase, N-terminal domain/subunit  "
116,mce,CDS,ROG2119,189884,190312,+,NA
117,cds219,CDS,COG0071,190385,190915,+,[O] Molecular chaperone (small heat shock protein)
118,cds220,CDS,COG1779,190931,191449,-,[R] C4-type Zn-finger protein   
119,cds221,CDS,COG5258,191518,193089,+,[R] GTPase     
120,cds222,CDS,COG3427,193079,193486,-,[S] Uncharacterized conserved protein   
120,cds223,CDS,COG3427,193483,193902,-,[S] Uncharacterized conserved protein   
121,cds224,CDS,COG2068,193929,194498,+,[R] Uncharacterized MobA-related protein   
122,cds225,CDS,COG2080,194469,194975,-,"[C] Aerobic-type carbon monoxide dehydrogenase, small subunit"
122,cds226,CDS,COG1319,194981,195817,-,"[C] Aerobic-type carbon monoxide dehydrogenase, middle subunit"
123,cds227,CDS,COG3350,195907,196041,-,[S] Uncharacterized conserved protein   
123,cobA,CDS,COG0007,196047,196775,-,[H] Uroporphyrinogen-III methylase    
123,cds229,CDS,NA,196775,197362,-,NA
123,cds230,CDS,NA,197362,197601,-,NA
123,cds231,CDS,ROG5222,197603,198430,-,NA
124,cds232,CDS,COG0402,198476,199627,+,[FR] Cytosine deaminase and related metal-dependent hydrolases
124,cds233,CDS,COG2520,199581,200360,+,[R] Predicted methyltransferase    
125,cds234,CDS,COG0174,200686,201963,+,[E] Glutamine synthetase    
125,cds235,CDS,COG1064,201964,202950,+,[R] Zn-dependent alcohol dehydrogenases   
126,cds236,CDS,COG4352,202947,203186,-,[J] Ribosomal protein L13E   
126,cds237,CDS,COG0430,203219,204232,-,[A] RNA 3'-terminal phosphate cyclase  
127,cds238,CDS,ROG7092,204246,204689,+,NA
128,cds239,CDS,COG0389,204666,205724,-,[L] Nucleotidyltransferase/DNA polymerase involved in DNA repair
128,cds240,CDS,COG0524,205721,206572,-,"[G] Sugar kinases, ribokinase family  "
129,cds241,CDS,COG1224,206848,208206,+,"[K] DNA helicase TIP49, TBP-interacting protein "
130,cds242,CDS,COG0518,208290,208856,+,[F] GMP synthase - Glutamine amidotransferase domain
131,cds243,CDS,COG0467,208859,209647,-,[T] RecA-superfamily ATPases implicated in signal transduction
132,cds244,CDS,COG2453,209726,210211,+,[T] Predicted protein-tyrosine phosphatase   
132,cds245,CDS,COG1515,210181,210777,+,[L] Deoxyinosine 3'endonuclease (endonuclease V)  
132,cds246,CDS,COG1335,210782,211399,+,[Q] Amidases related to nicotinamidase  
132,cds247,CDS,COG2404,211408,212397,+,[R] Predicted phosphohydrolase (DHH superfamily)  
133,cds248,CDS,ROG3791,212394,213080,-,NA
134,cds249,CDS,COG1415,213116,214255,+,[S] Uncharacterized conserved protein   
135,cds250,CDS,COG1392,214365,215027,+,[P] Phosphate transport regulator (distant homolog of
136,cds251,CDS,COG0306,215016,216002,-,[P] Phosphate/sulphate permeases    
136,cds252,CDS,COG0864,215962,216231,-,[K] Predicted transcriptional regulators containing the CopG/Arc/MetJ
137,cds253,CDS,COG1204,216360,218507,+,[R] Superfamily II helicase   
137,cds254,CDS,NA,218458,218643,+,NA
138,cds255,CDS,COG4799,218644,220215,-,"[I] Acetyl-CoA carboxylase, carboxyltransferase component (subunits alpha"
138,cds256,CDS,COG1038,220240,220749,-,[C] Pyruvate carboxylase    
138,cds257,CDS,COG0439,220749,222281,-,[I] Biotin carboxylase    
139,cds258,CDS,COG3385,222606,223661,+,[L] FOG: Transposase and inactivated derivatives 
140,cds259,CDS,COG0675,223737,224942,+,[L] Transposase and inactivated derivatives  
141,cds260,CDS,COG4986,225251,226858,-,"[P] ABC-type anion transport system, duplicated permease"
141,cds261,CDS,COG1116,226851,227549,-,"[P] ABC-type nitrate/sulfonate/bicarbonate transport system, ATPase component"
142,cds262,CDS,NA,227691,227930,-,NA
142,cds263,CDS,COG0066,227964,228461,-,[E] 3-isopropylmalate dehydratase small subunit  
142,cds264,CDS,COG0065,228462,229709,-,[E] 3-isopropylmalate dehydratase large subunit  
143,cds265,CDS,COG0415,229793,231094,-,[L] Deoxyribodipyrimidine photolyase    
144,cds266,CDS,COG3387,231177,233015,+,[G] Glucoamylase and related glycosyl hydrolases 
145,cds267,CDS,COG3355,233106,233501,+,[K] Predicted transcriptional regulator   
146,cds268,CDS,COG3432,233518,233805,-,[K] Predicted transcriptional regulator   
147,cds269,CDS,COG0455,233953,234687,+,[D] ATPases involved in chromosome partitioning 
148,cds270,CDS,ROG1006,234814,235008,+,NA
148,cds271,CDS,COG0591,235014,236531,+,[ER] Na+/proline symporter    
149,cds272,CDS,COG0846,236595,237338,+,"[K] NAD-dependent protein deacetylases, SIR2 family "
149,cds273,CDS,NA,237373,237573,+,NA
150,cds274,CDS,COG1208,237594,238307,-,[MJ] Nucleoside-diphosphate-sugar pyrophosphorylase involved in lipopolysaccharide biosynthesis/translation
151,cds275,CDS,NA,238505,238698,+,NA
152,cds276,CDS,COG3385,238858,239913,-,[L] FOG: Transposase and inactivated derivatives 
153,cds277,CDS,ROG3996,240547,240747,+,NA
154,cds278,CDS,ROG2586,240731,241093,-,NA
155,cds279,CDS,NA,241325,242374,+,NA
156,cds280,CDS,COG0074,242360,243211,-,"[C] Succinyl-CoA synthetase, alpha subunit  "
156,cds281,CDS,COG0045,243208,244221,-,"[C] Succinyl-CoA synthetase, beta subunit  "
156,cds282,CDS,COG2231,244306,244989,-,[L] Uncharacterized protein related to Endonuclease III
156,cds283,CDS,COG5017,244989,245945,-,[S] Uncharacterized conserved protein   
157,cds284,CDS,COG0441,245997,247634,+,[J] Threonyl-tRNA synthetase    
157,cds285,CDS,COG0350,247672,248127,+,[L] Methylated DNA-protein cysteine methyltransferase  
158,cds286,CDS,COG3385,248376,249423,+,[L] FOG: Transposase and inactivated derivatives 
159,cds287,CDS,COG0675,249499,250170,+,[L] Transposase and inactivated derivatives  
160,cds288,CDS,ROG1524,250342,251301,-,NA
161,cds289,CDS,COG3385,251378,251590,-,[L] FOG: Transposase and inactivated derivatives 
162,cds290,CDS,ROG4524,252025,252816,+,NA
162,cds291,CDS,ROG6741,252856,253620,+,NA
162,cds292,CDS,COG1454,253664,254647,+,"[C] Alcohol dehydrogenase, class IV  "
162,cds293,CDS,ROG7420,254649,255095,+,NA
163,cds294,CDS,NA,255230,255835,+,NA
164,cds295,CDS,COG0657,255967,256884,+,[I] Esterase/lipase     
164,cds296,CDS,COG0604,256962,257972,+,[CR] NADPH:quinone reductase and related Zn-dependent oxidoreductases
165,cds297,CDS,COG0183,257958,259145,-,[I] Acetyl-CoA acetyltransferase    
165,cds298,CDS,COG1960,259183,260082,-,[I] Acyl-CoA dehydrogenases    
165,cds299,CDS,COG0208,260087,261013,-,"[F] Ribonucleotide reductase, beta subunit  "
165,fabG_3,CDS,COG1028,261103,261861,-,[IQR] Dehydrogenases with different specificities (related to
165,cds301,CDS,COG1062,261896,262942,-,"[C] Zn-dependent alcohol dehydrogenases, class III "
166,cds302,CDS,NA,263226,263630,-,NA
167,cds303,CDS,COG2368,263694,265085,-,[Q] Aromatic ring hydroxylase   
168,cds304,CDS,COG0477,265878,267365,-,[GEPR] Permeases of the major facilitator superfamily
169,cds305,CDS,COG1309,267605,268204,+,[K] Transcriptional regulator    
170,cds306,CDS,COG3255,268206,268649,-,[I] Putative sterol carrier protein  
171,cds307,CDS,COG0533,268740,269882,+,[O] Metal-dependent proteases with possible chaperone activity
171,cds308,CDS,COG1545,269879,270235,+,[R] Predicted nucleic-acid-binding protein containing a Zn-ribbon
171,cds309,CDS,COG0318,270303,271973,+,[IQ] Acyl-CoA synthetases (AMP-forming)/AMP-acid ligases II 
171,cds310,CDS,COG1960,271997,273109,+,[I] Acyl-CoA dehydrogenases    
172,cds311,CDS,COG1250,273135,275126,-,[I] 3-hydroxyacyl-CoA dehydrogenase    
172,cds312,CDS,COG0491,275208,276140,-,"[R] Zn-dependent hydrolases, including glyoxylases  "
173,cds313,CDS,COG0477,276349,277815,+,[GEPR] Permeases of the major facilitator superfamily
174,cds314,CDS,NA,277962,278237,+,NA
174,cds315,CDS,NA,278236,278431,+,NA
175,cds316,CDS,COG0426,278690,279604,-,[C] Uncharacterized flavoproteins    
176,cds317,CDS,COG0179,279649,280602,+,"[Q] 2-keto-4-pentenoate hydratase/2-oxohepta-3-ene-1,7-dioic acid hydratase (catechol pathway)"
177,cds318,CDS,COG0657,280596,281525,-,[I] Esterase/lipase     
177,cds319,CDS,COG1735,281559,282503,-,[R] Predicted metal-dependent hydrolase with the TIM-barrel
178,cds320,CDS,COG0318,282583,284265,+,[IQ] Acyl-CoA synthetases (AMP-forming)/AMP-acid ligases II 
179,cds321,CDS,COG3427,284321,284764,-,[S] Uncharacterized conserved protein   
179,cds322,CDS,COG0578,284768,286066,-,[C] Glycerol-3-phosphate dehydrogenase    
180,cds323,CDS,COG0554,286267,286497,+,[C] Glycerol kinase    
180,cds324,CDS,COG3415,286520,287191,+,[L] Transposase and inactivated derivatives  
181,cds325,CDS,COG0842,287220,288092,-,"[V] ABC-type multidrug transport system, permease component"
181,cds326,CDS,COG1131,288089,289087,-,"[V] ABC-type multidrug transport system, ATPase component"
181,cds327,CDS,COG1695,289080,289487,-,[K] Predicted transcriptional regulators   
182,cds328,CDS,COG1672,289889,290116,+,[R] Predicted ATPase (AAA+ superfamily)  
183,cds329,CDS,ROG0054,290180,291031,-,NA
183,cds330,CDS,COG2050,291083,291577,-,"[Q] Uncharacterized protein, possibly involved in aromatic"
184,cds331,CDS,COG3547,292061,292273,+,[L] Transposase and inactivated derivatives  
185,cds332,CDS,COG1708,292579,292949,-,[R] Predicted nucleotidyltransferases    
185,cds333,CDS,COG2250,292930,293322,-,[S] Uncharacterized conserved protein related to C-terminal
186,cds334,CDS,ROG2022,294452,294712,+,NA
187,cds335,CDS,COG3350,294689,295090,-,[S] Uncharacterized conserved protein   
188,cds336,CDS,COG0446,295435,296658,+,[R] Uncharacterized NAD(FAD)-dependent dehydrogenases   
189,cds337,CDS,NA,296827,297219,-,NA
190,cds338,CDS,ROG3927,297336,298301,+,NA
191,cds339,CDS,COG0432,298290,298703,-,[S] Uncharacterized conserved protein   
192,cds340,CDS,COG1305,299373,300167,+,"[E] Transglutaminase-like enzymes, putative cysteine proteases "
193,cds341,CDS,ROG4094,300523,300744,+,NA
194,cds342,CDS,COG1522,300982,301446,+,[K] Transcriptional regulators    
195,cds343,CDS,COG1013,301497,302513,-,"[C] Pyruvate:ferredoxin oxidoreductase and related 2-oxoacid:ferredoxin oxidoreductases,"
195,cds344,CDS,COG0674,302532,303779,-,"[C] Pyruvate:ferredoxin oxidoreductase and related 2-oxoacid:ferredoxin oxidoreductases,"
195,cds345,CDS,COG1144,303776,304867,-,"[C] Pyruvate:ferredoxin oxidoreductase and related 2-oxoacid:ferredoxin oxidoreductases,"
196,cds346,CDS,NA,305077,306369,-,NA
197,cds347,CDS,COG1620,306777,308369,-,[C] L-lactate permease    
198,cds348,CDS,NA,308885,309605,-,NA
