nucleotide	start	end	peak	enrichment.average	enrichment.replicate1	enrichment.replicate2
NC_017276.1	1340318	1340319	cbp1_peak170	16.01475	17.7188	14.3107
NC_017276.1	153726	153727	cbp1_peak172	6.29153	6.53634	6.04672
NC_017276.1	1459912	1459913	cbp1_peak181	5.38232	5.03582	5.72882
NC_017276.1	1468650	1468651	cbp1_peak183	8.479935	8.92196	8.03791
NC_017276.1	1478266	1478267	cbp1_peak184	10.8423	11.0181	10.6665
NC_017276.1	1501743	1501744	cbp1_peak188	12.91955	14.3407	11.4984
NC_017276.1	1530761	1530762	cbp1_peak190	8.859725	9.48788	8.23157
NC_017276.1	1569199	1569200	cbp1_peak197	6.12752	6.6236	5.63144
NC_017276.1	1600565	1600566	cbp1_peak198	17.8481	18.4167	17.2795
NC_017276.1	1609065	1609066	cbp1_peak201	5.240055	6.0393	4.44081
NC_017276.1	1612805	1612806	cbp1_peak203	7.86818	8.78	6.95636
NC_017276.1	180447	180448	cbp1_peak204	100.82995	110.453	91.2069
NC_017276.1	1649091	1649092	cbp1_peak207	5.941785	6.1207	5.76287
NC_017276.1	1650069	1650070	cbp1_peak209	5.543925	5.86481	5.22304
NC_017276.1	1655846	1655847	cbp1_peak210	6.2393	7.0787	5.3999
NC_017276.1	1657949	1657950	cbp1_peak211	8.95979	10.3989	7.52068
NC_017276.1	182530	182531	cbp1_peak214	5.809985	6.62963	4.99034
NC_017276.1	1699632	1699633	cbp1_peak215	12.0546	12.9377	11.1715
NC_017276.1	1701268	1701269	cbp1_peak217	5.222545	5.87514	4.56995
NC_017276.1	183732	183733	cbp1_peak221	5.454715	5.84637	5.06306
NC_017276.1	1719210	1719211	cbp1_peak224	9.261205	10.6541	7.86831
NC_017276.1	1726060	1726061	cbp1_peak225	22.89615	24.6819	21.1104
NC_017276.1	1756004	1756005	cbp1_peak226	18.8997	20.6989	17.1005
NC_017276.1	1760649	1760650	cbp1_peak229	5.40666	6.0629	4.75042
NC_017276.1	1768374	1768375	cbp1_peak231	27.3195	29.962	24.677
NC_017276.1	1785029	1785030	cbp1_peak233	17.76995	18.8514	16.6885
NC_017276.1	1787505	1787506	cbp1_peak234	110.2684	128.09	92.4468
NC_017276.1	1789485	1789486	cbp1_peak235	5.914785	6.24899	5.58058
NC_017276.1	1793703	1793704	cbp1_peak237	23.7519	25.6448	21.859
NC_017276.1	1822514	1822515	cbp1_peak239	5.98716	6.44639	5.52793
NC_017276.1	1823360	1823361	cbp1_peak240	18.3015	20.4533	16.1497
NC_017276.1	1844203	1844204	cbp1_peak244	5.165075	6.5401	3.79005
NC_017276.1	1861507	1861508	cbp1_peak246	5.0375	6.09885	3.97615
NC_017276.1	1892787	1892788	cbp1_peak251	26.59795	29.7402	23.4557
NC_017276.1	1943664	1943665	cbp1_peak252	8.336235	9.23676	7.43571
NC_017276.1	1943891	1943892	cbp1_peak253	10.889525	11.9526	9.82645
NC_017276.1	1951431	1951432	cbp1_peak255	14.82475	12.8852	16.7643
NC_017276.1	1963877	1963878	cbp1_peak256	7.461905	7.78222	7.14159
NC_017276.1	1972238	1972239	cbp1_peak259	15.72175	17.4779	13.9656
NC_017276.1	2005342	2005343	cbp1_peak263	73.17825	82.0402	64.3163
NC_017276.1	2019355	2019356	cbp1_peak264	12.474525	14.9878	9.96125
NC_017276.1	2023705	2023706	cbp1_peak266	7.256845	7.55513	6.95856
NC_017276.1	2034357	2034358	cbp1_peak267	23.4898	25.1339	21.8457
NC_017276.1	2034588	2034589	cbp1_peak268	5.61418	6.13994	5.08842
NC_017276.1	2048881	2048882	cbp1_peak270	6.215005	6.8044	5.62561
NC_017276.1	2086542	2086543	cbp1_peak272	5.46711	5.89178	5.04244
NC_017276.1	2092432	2092433	cbp1_peak273	13.0271	15.2614	10.7928
NC_017276.1	201581	201582	cbp1_peak276	5.323195	5.32664	5.31975
NC_017276.1	2153724	2153725	cbp1_peak277	5.34497	5.81138	4.87856
NC_017276.1	2178775	2178776	cbp1_peak281	6.37827	6.88445	5.87209
NC_017276.1	2180932	2180933	cbp1_peak282	7.45234	8.28018	6.6245
NC_017276.1	211680	211681	cbp1_peak284	32.7035	39.6181	25.7889
NC_017276.1	2193131	2193132	cbp1_peak285	7.339385	6.79522	7.88355
NC_017276.1	2208893	2208894	cbp1_peak287	6.103865	6.5125	5.69523
NC_017276.1	2225477	2225478	cbp1_peak288	9.90535	10.7547	9.056
NC_017276.1	2254577	2254578	cbp1_peak290	13.62015	14.4766	12.7637
NC_017276.1	2254762	2254763	cbp1_peak291	84.86475	92.7819	76.9476
NC_017276.1	2282761	2282762	cbp1_peak294	12.5892	13.9512	11.2272
NC_017276.1	2286243	2286244	cbp1_peak295	21.7006	26.6716	16.7296
NC_017276.1	2318724	2318725	cbp1_peak302	12.7739	13.9684	11.5794
NC_017276.1	2346686	2346687	cbp1_peak305	7.316995	7.52415	7.10984
NC_017276.1	2401282	2401283	cbp1_peak313	16.0963	19.0738	13.1188
NC_017276.1	2404811	2404812	cbp1_peak314	12.4033	12.7565	12.0501
NC_017276.1	2416512	2416513	cbp1_peak315	14.15995	15.8114	12.5085
NC_017276.1	2429759	2429760	cbp1_peak319	5.286005	5.44195	5.13006
NC_017276.1	2447623	2447624	cbp1_peak321	6.70327	6.36796	7.03858
NC_017276.1	2456252	2456253	cbp1_peak324	12.1683	13.1572	11.1794
NC_017276.1	2489002	2489003	cbp1_peak329	10.90955	11.0543	10.7648
NC_017276.1	294135	294136	cbp1_peak337	7.73561	8.26656	7.20466
NC_017276.1	318725	318726	cbp1_peak340	7.2388	7.91474	6.56286
NC_017276.1	322835	322836	cbp1_peak341	5.597265	6.62292	4.57161
NC_017276.1	341610	341611	cbp1_peak344	93.8467	108.13	79.5634
NC_017276.1	367057	367058	cbp1_peak347	9.168405	10.1963	8.14051
NC_017276.1	377052	377053	cbp1_peak348	5.15313	5.42873	4.87753
NC_017276.1	387879	387880	cbp1_peak349	9.950875	10.7173	9.18445
NC_017276.1	400605	400606	cbp1_peak350	6.5194	6.62292	6.41588
NC_017276.1	400882	400883	cbp1_peak351	5.57344	6.14768	4.9992
