nucleotide	start	end	peak	enrichment.average	enrichment.replicate1	enrichment.replicate2
gi|15896971|ref|NC_002754.1|	1003643	1003644	cbp1_peak105	8.52461	8.31077	8.73845
gi|15896971|ref|NC_002754.1|	1031796	1031797	cbp1_peak106	59.45555	48.6339	70.2772
gi|15896971|ref|NC_002754.1|	1080837	1080838	cbp1_peak107	6.877515	6.82169	6.93334
gi|15896971|ref|NC_002754.1|	1107809	1107810	cbp1_peak108	7.17457	6.17116	8.17798
gi|15896971|ref|NC_002754.1|	1143486	1143487	cbp1_peak110	21.10425	20.3163	21.8922
gi|15896971|ref|NC_002754.1|	1155293	1155294	cbp1_peak111	33.4448	30.5943	36.2953
gi|15896971|ref|NC_002754.1|	1158644	1158645	cbp1_peak112	5.066535	5.00238	5.13069
gi|15896971|ref|NC_002754.1|	1168131	1168132	cbp1_peak113	5.13358	4.74117	5.52599
gi|15896971|ref|NC_002754.1|	1206856	1206857	cbp1_peak114	48.03785	42.9111	53.1646
gi|15896971|ref|NC_002754.1|	1274948	1274949	cbp1_peak116	72.9674	67.952	77.9828
gi|15896971|ref|NC_002754.1|	1314809	1314810	cbp1_peak117	21.07975	20.7293	21.4302
gi|15896971|ref|NC_002754.1|	1317930	1317931	cbp1_peak119	12.6643	11.4988	13.8298
gi|15896971|ref|NC_002754.1|	115019	115020	cbp1_peak120	39.28065	41.0097	37.5516
