nucleotide	start	end	peak	enrichment.average	enrichment.replicate1	enrichment.replicate2
NC_021058.1	2391275	2391276	cbp1_peak112	5.247555	4.60753	5.88758
NC_021058.1	2393175	2393176	cbp1_peak113	5.58232	5.54493	5.61971
NC_021058.1	2399919	2399920	cbp1_peak114	18.2751	18.0284	18.5218
NC_021058.1	2400293	2400294	cbp1_peak115	5.583795	5.36012	5.80747
NC_021058.1	2432875	2432876	cbp1_peak117	7.601375	6.60509	8.59766
NC_021058.1	276499	276500	cbp1_peak120	5.323805	5.40068	5.24693
NC_021058.1	292769	292770	cbp1_peak121	174.812	187.563	162.061
NC_021058.1	307721	307722	cbp1_peak123	10.6466	12.9159	8.3773
NC_021058.1	336336	336337	cbp1_peak124	5.499645	5.80821	5.19108
NC_021058.1	362355	362356	cbp1_peak125	6.05164	6.87068	5.2326
NC_021058.1	362941	362942	cbp1_peak126	59.081	61.3758	56.7862
NC_021058.1	373743	373744	cbp1_peak127	5.47246	5.06447	5.88045
NC_021058.1	419020	419021	cbp1_peak129	6.939965	5.72472	8.15521
NC_021058.1	420895	420896	cbp1_peak130	5.336675	4.56865	6.1047
NC_021058.1	454858	454859	cbp1_peak131	5.130765	4.35616	5.90537
NC_021058.1	463475	463476	cbp1_peak132	24.1282	23.5884	24.668
NC_021058.1	467946	467947	cbp1_peak133	26.85415	25.6765	28.0318
NC_021058.1	470123	470124	cbp1_peak135	13.62875	16.4684	10.7891
NC_021058.1	471845	471846	cbp1_peak136	10.991035	12.2893	9.69277
NC_021058.1	477964	477965	cbp1_peak137	13.96355	13.7742	14.1529
NC_021058.1	483373	483374	cbp1_peak138	46.0163	53.3363	38.6963
NC_021058.1	515556	515557	cbp1_peak140	7.464225	8.49982	6.42863
NC_021058.1	516880	516881	cbp1_peak141	8.80583	8.64148	8.97018
NC_021058.1	556340	556341	cbp1_peak142	5.252125	4.92281	5.58144
NC_021058.1	564811	564812	cbp1_peak143	21.55805	20.5412	22.5749
NC_021058.1	44484	44485	cbp1_peak144	17.4709	16.8658	18.076
NC_021058.1	575564	575565	cbp1_peak145	52.44835	54.1155	50.7812
NC_021058.1	586255	586256	cbp1_peak147	44.09645	47.5281	40.6648
NC_021058.1	597305	597306	cbp1_peak148	39.35535	44.624	34.0867
NC_021058.1	640909	640910	cbp1_peak149	6.1323	7.7915	4.4731
NC_021058.1	50972	50973	cbp1_peak150	27.70905	24.833	30.5851
NC_021058.1	646070	646071	cbp1_peak151	5.48497	4.49148	6.47846
NC_021058.1	648947	648948	cbp1_peak152	10.261	10.306	10.216
NC_021058.1	658985	658986	cbp1_peak153	5.11774	5.27697	4.95851
NC_021058.1	666270	666271	cbp1_peak154	5.99738	5.09271	6.90205
NC_021058.1	693434	693435	cbp1_peak156	6.09859	7.72067	4.47651
